"Search Parameters"	"More Info"	"Doubtful Runup"	"Country"	"Area"	"Location Name"	"Latitude"	"Longitude"	"Distance From Source (km)"	"Initial Wave Arrival Dy"	"Initial Wave Arrival Hr"	"Initial Wave Arrival Min"	"Travel Hours"	"Travel Minutes"	"Max Wave Arrival Day"	"Max Wave Arrival Hr"	"Max Wave Arrival Min"	"Max Water Height (m)"	"Max Inundation Distance (m)"	"Measurement Type"	"Period"	"First Motion"	"Deaths"	"Death Description"	"Missing"	"Missing Description"	"Injuries"	"Injuries Description"	"Damage $Mil"	"Damage Description"	"Houses Destroyed"	"Houses Destroyed Description"	"Houses Damaged"	"Houses Damaged Description"
"Tsunami ID = 5413"																																	
		"n"	"JAPAN"	"HOKKAIDO"	"HANASAKI"	43.2781	145.5678	615.251043347446	11	6	43	0	57	11	7	17	2.26		2	62	"R"												
		"n"	"JAPAN"	"KOCHI"	"TOSA-SHIMIZU"	32.7792	132.9589	1049.6044065424496	11	7	56	2	10	11	16	58	1.19		2	22	"R"												
		"n"	"PAPUA NEW GUINEA"	"MANUS"	"MANUS ISLAND, ADMIRALTY ISLANDS"	-2.035	147.367	4494.928492459762	11	11	45	5	58	11	16	0	1.03		2	72													
		"n"	"PAPUA NEW GUINEA"		"LOMBRUM, ADMIRALTY ISLANDS"	-2.04	147.4	4495.867326612982	11	11	43	5	56	11	15	58	1.08		2	62													
		"n"	"KIRIBATI"		"BETIO, TARAWA"	1.367	172.933	5141.988544410324	11	12	5	6	18	11	12	25	0.27		2	24													
		"n"	"NAURU"		"NAURU"	-0.5319	166.9092	4980.454157185569	11	11	40	5	53	11	11	57	0.27		2	24													
		"n"	"USA"	"HI"	"NAWILIWILI, KAUAI, HI"	21.9544	-159.3561	5800.001615507562	11	12	57	7	10	11	13	49	0.88		2	10													
		"n"	"USA"	"HI"	"HILO, HAWAII, HI"	19.7303	-155.0553	6309.607849238779	11	13	43	7	56	11	14	28	1.33		2	36													
		"n"	"USA"	"HI"	"KAWAIHAE, HAWAII, HI"	20.0366	-155.829	6223.2851911632315	11	13	35	7	48	11	14	20	1.04		2	14													
		"n"	"USA"	"HI"	"KAHULUI, MAUI, HI"	20.895	-156.477	6114.805824327383	11	13	27	7	40	11	14	9	2		2	26													
		"n"	"USA"	"HI"	"KAUMALAPAU, LANAI, HI"	20.787	-156.991	6076.321794300544	11	13	24	7	37	11	15	34	0.86		2	6													
		"n"	"USA"	"HI"	"HONOLULU, OAHU, HI"	21.3067	-157.867	5968.617468663595	11	13	14	7	27	11	13	29	0.71		2	32													
		"n"	"USA"	"HI"	"BARBERS POINT, OAHU, HI"	21.3218	-158.1193	5945.648495586795						11	13	24	0.7		2	64													
		"n"	"USA"	"HI"	"FRENCH FRIGATE SHOALS, HI"	23.867	-166.283	5083.587357912974									0.38		2	16													
		"n"	"USA TERRITORY"	"HI"	"JOHNSTON ISLAND"	16.7363	-169.5283	5244.027157460121	11	12	4	6	17	11	20	18	0.18		2	102													
		"n"	"PHILIPPINES"		"LEGASPI"	13.15	123.75	3339.6636776496525	11	10	22	4	35	11	10	50	0.29		2	62													
